imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
3F0Z1FPMUNWB7D1EFV5M6IVBAHELYR,0.0,0.0,0.0985,0.36,0.4504,0.5146
3F12ASV6AWHSTTB7IFZKMVGLLVZM46,0.0,0.0,0.1708,0.323,0.5303,0.5303
3F2SNR5B8MKSI92Q9DG0FV11BKO0HL,0.0,0.0,0.0,0.1305,0.2269,0.2365
3FKD865UZQBJZ4661LLBINGEMFPMUJ,0.0,0.0,0.0802,0.5182,0.7678,0.78
3FKD865UZQBJZ4661LLBINGENHPMUO,0.0,0.0,0.0,0.4751,0.5365,0.6246
3FKD865UZQG0HB1FDHAJVT0FL3FMUG,0.0,0.0,0.0351,0.1806,0.1891,0.1891
3FOA7RUSUPLLDDXZNITMB1EHL6FPGL,0.0,0.0825,0.24,0.4418,0.4564,0.7029
3FQJF6D1R1SUSJ130G368H5I02G92S,0.0,0.0,0.0,0.3181,0.4767,0.5219
3FQJF6D1S2STVEIP11IICRPWDI892M,0.0,0.0,0.0996,0.3688,0.4179,0.4499
3G2I6FODBC43UCDM72LBPP8Z9I0L60,0.0,0.0,0.0283,0.1183,0.1229,0.28
3GAR7VLBJNDRH4HH5ZWWCFRBGXZ4Y9,0.0,0.1121,0.2341,0.3965,0.4937,0.6243
3GAR7VLBJNEKQVA3XEJQ66MZFEXY4T,0.0,0.0,0.0218,0.2567,0.4361,0.7682
3GBCJUK5C2GRHG97MHYVG9NBQMOPK9,0.0,0.0,0.1292,0.3175,0.3595,0.3595
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,0.0,0.0,0.0,0.2967,0.3139,0.3139
3GC8IVJ10EOCB71QWZ4YFX98VOS9NN,0.0,0.0,0.1959,0.423,0.4684,0.556
3GRRK9BQWRDBESRD36S5634M392PD9,0.0,0.0,0.0317,0.1977,0.248,0.2529
3GRRK9BQWRPD54OGKFA4YQ8537VPDJ,0.0,0.0,0.0056,0.2462,0.3261,0.5436
3GZMSD8U5X9MRGKQIZ546O8UKB695Q,0.0,0.0,0.1918,0.4811,0.5236,0.6561
3GZMSD8U5X9MRGKQIZ546O8UKC795T,0.0,0.0192,0.1527,0.377,0.4351,0.509
3GZMSD8U6Y8M82W4VRHXFG1G1IS95R,0.0,0.0,0.0,0.2236,0.4194,0.4194
3H41Q6XMRNJ731MM548PSMBGOYMG2I,0.0,0.0,0.0955,0.3148,0.3806,0.501
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,0.0,0.0,0.0,0.1048,0.3046,0.3322
3H5CSD5832HNKRNN8SDJ6TWED17E80,0.0,0.0338,0.2225,0.5613,0.637,0.7195
3H5CSD5832HNKRNN8SDJ6TWL583E8G,0.0,0.0,0.0,0.2224,0.2992,0.687
