imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
33RX46D1RXVH625SCIG7UWSYT80X1J.png;0.0000,0.0000,0.0000,0.0314,0.2416,0.0909,0.1921,0.0255,0.1122,0.1692,0.0378,0.2961,0.0431,0.1971,0.1205,0.1444,0.1384,0.0324,0.0000,0.2423,0.0000,0.0308,0.0000,0.1427,0.0000,0.0000,0.0000,0.2219,0.0000,0.0851,0.0000,0.1373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0988,0.0000,0.0000,0.0276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;10,9,4,0,0,0,0,0,0,0,0,;0.1243;11;9;819000;5.50;
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ.png;0.1535,0.0976,0.4010,0.3335,0.2136,0.1686,0.1124,0.1461,0.2098,0.2136,0.2136,0.2142,0.2130,0.2136,0.1127,0.1098,0.1734,0.1157,0.0000,0.0795,0.0326,0.1641,0.0000,0.1992,0.0000,0.0438,0.0000,0.1635,0.0000,0.1045,0.0000,0.0964,0.0000,0.0315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,11,6,2,0,0,0,0,0,0,0,;0.1604;14;11;1001000;7.00;
344RGS4J7S874QSQIPH3B5TQWFPMPU.png;0.0000,0.1976,0.2397,0.0557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2750,0.0000,0.0000,0.0000,0.1698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,2,2,0,0,0,0,0,0,0,0,;0.1617;4;2;182000;2.00;
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1.png;0.0000,0.0646,0.3194,0.3258,0.1212,0.2796,0.0932,0.0615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,1,1,2,0,0,0,0,0,0,0,;0.1808;3;2;182000;1.50;
34KQN2TBKTGWLIK008X22C5QD2JSAJ.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,0,0,0,0,0,0,0,0,0,;NaN;0;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB.png;0.0000,0.0194,0.0000,0.0196,0.0573,0.0439,0.0000,0.0397,0.0633,0.0316,0.0186,0.0273,0.0519,0.0197,0.0000,0.0543,0.0195,0.0048,0.0000,0.0033,0.0000,0.0000,0.0000,0.0009,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;13,0,0,0,0,0,0,0,0,0,0,;0.0253;8;8;728000;8.00;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1.png;0.0119,0.1241,0.0688,0.1014,0.1236,0.1143,0.0000,0.0845,0.0000,0.1247,0.0596,0.0536,0.0985,0.0000,0.0864,0.0000,0.1201,0.0000,0.0000,0.0096,0.0000,0.0075,0.0000,0.0004,0.0000,0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,0.0508,0.0000,0.0935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;10,5,0,0,0,0,0,0,0,0,0,;0.0675;11;10;910000;5.50;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2.png;0.0617,0.1234,0.0670,0.0800,0.0768,0.0823,0.0574,0.0463,0.0490,0.0490,0.0546,0.0573,0.0633,0.0573,0.0544,0.0783,0.0277,0.0046,0.0000,0.0042,0.0000,0.0042,0.0000,0.0046,0.0000,0.0042,0.0000,0.0042,0.0000,0.0046,0.0000,0.0059,0.0000,0.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;17,1,0,0,0,0,0,0,0,0,0,;0.0449;17;16;1456000;8.50;
34RF8KPUOTU14SPS6MXYXNPWVK7SBH.png;0.0052,0.0363,0.0092,0.0094,0.0963,0.0092,0.0309,0.0115,0.0866,0.0783,0.0110,0.0185,0.0094,0.0092,0.0000,0.0000,0.0094,0.0173,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,0,0,0,0,0,0,0,0,0,0,;0.0280;6;5;455000;3.00;
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB.png;0.0000,0.2538,0.5148,0.2010,0.0759,0.1049,0.1640,0.2642,0.3054,0.3639,0.2303,0.4064,0.1317,0.1738,0.1877,0.0147,0.0000,0.4980,0.0000,0.3231,0.0092,0.2384,0.0000,0.4257,0.0000,0.2364,0.1343,0.2173,0.0000,0.0701,0.0000,0.0055,0.1480,0.0000,0.0000,0.1405,0.0000,0.0000,0.1470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,9,7,3,2,1,0,0,0,0,0,;0.2138;13;6;546000;4.33;
