GroupId,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,51,30,486,4.244594594594594,10,0.0205761316872428
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,7,5,98,3.6090225563909772,3,0.030612244897959183
32WAV7G60PNC75TK9C1M3A29EH0D36,28,9,226,4.2439024390243905,8,0.035398230088495575
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,563,4,6743,4.073087818696884,0,0.0
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,20,4,138,4.402912621359223,2,0.014492753623188406
330XZFCZ7RB627L6HWI9543W690TXG,25,14,343,4.248704663212435,26,0.07580174927113703
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,17,3,167,3.9562289562289563,4,0.023952095808383235
33FLRCV01N0NF725EJLGLLU8UGYORG,31,17,291,4.20722891566265,8,0.027491408934707903
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,129,42,2771,3.044957983193277,49,0.017683146878383255
33RX46D1RXVH625SCIG7UWSYT80X1J,27,12,254,3.841796875,24,0.09448818897637795
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,30,10,318,4.048426150121065,1,0.0031446540880503146
344RGS4J7S874QSQIPH3B5TQWFPMPU,10,5,144,4.525114155251141,1,0.006944444444444444
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,11,6,74,4.16,9,0.12162162162162163
34KQN2TBKTGWLIK008X22C5QD2JSAJ,468,53,2679,4.958385481852315,0,0.0
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,475,59,2719,4.954391371340524,4,0.001471129091577786
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,308,41,1818,4.899497487437186,1,0.00055005500550055
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,75,8,2309,2.7865685372585096,2,0.0008661758336942399
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,137,5,407,2.3503097040605643,6,0.014742014742014743
3589VT1T2BGMXIVHZGNGS492OQIJN8,15,14,140,3.2749003984063747,10,0.07142857142857142
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,38,20,721,3.361794500723589,1,0.0013869625520110957
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,113,26,2574,1.8796898449224613,0,0.0
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,18,26,197,4.484848484848484,0,0.0
35QUA2ABY634ZYN782PTB2BL5I8EGJ,12,12,112,5.241187384044527,105,0.9375
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,9,3,108,3.7604790419161676,0,0.0
361LJMRMCQ5CDYJ025B6700NV8CUR4,19,12,217,4.326923076923077,10,0.04608294930875576
369VX4MEOJAKM0DV8XRK62EAJWKGI1,21,12,213,4.182370820668693,15,0.07042253521126761
36ARV8EEH67U95XPYN59VTZKFJ2VA1,26,9,173,4.165354330708661,8,0.046242774566473986
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,130,49,1615,3.7729241877256317,89,0.055108359133126936
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,85,77,789,3.358419057931781,50,0.06337135614702155
36HGGQAXL6L87J29O35QD9YQWSFBVG,19,0,315,3.1901840490797544,0,0.0
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,17,2,54,1.6919127086007701,0,0.0
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,111,18,1063,3.646417445482866,6,0.005644402634054563
36QDS77QN9NG5USZQM0XMAC2L97HFT,75,28,1156,3.87117212249208,2,0.0017301038062283738
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,12,3,117,4.494252873563219,5,0.042735042735042736
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,20,15,199,4.84561403508772,7,0.035175879396984924
375FCEJV4GX4B1VR293XJCDD0I7CCJ,75,74,1098,4.235560720511331,687,0.6256830601092896
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,8,0,64,3.5779816513761467,0,0.0
37672WDDC2JA93V4O46FCCJ2VAJNM9,47,11,237,3.109170305676856,30,0.12658227848101267
378UBY8FQ61LFCJMHZWZTRZI59A8TB,68,40,1060,2.8430551922573897,33,0.031132075471698113
378UBY8FR7AABMKBM232FCEFT60T8E,42,37,410,4.011494252873563,0,0.0
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,12,2,120,4.589285714285714,1,0.008333333333333333
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,27,12,229,4.577181208053691,9,0.039301310043668124
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,563,4,6742,4.072480181200453,0,0.0
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,23,15,315,2.890277777777778,9,0.02857142857142857
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,9,3,92,4.007142857142857,1,0.010869565217391304
37ZHE2JT1D250TKIB56TICN73UM88S,36,19,707,3.3149717514124295,1,0.0014144271570014145
37ZHE2JT1D250TKIB56TICN73UQ88W,78,8,2319,2.7756756756756755,1,0.00043122035360068997
37ZUGP9H9BONPT0XCKXE3200JPH817,36,19,707,3.3663793103448274,0,0.0
37ZUGP9H9BONPT0XCKXE3201JQL81F,84,54,932,2.9599198396793587,0,0.0
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,9,0,212,4.366666666666666,3,0.014150943396226415
389X50RO4VDYCDHURIYQ7760LL5343,27,14,277,4.489669421487603,13,0.04693140794223827
38DNTK7MFN2OC2PZPWU81IIJXME01H,40,17,369,3.6241935483870966,17,0.04607046070460705
38DNTK7MFN34LCW85JTSAD2CXFQ01S,17,13,164,4.456521739130435,15,0.09146341463414634
38DNTK7MFN3UAZX8DF8S385AB3E10K,36,14,677,3.652014652014652,13,0.019202363367799114
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,28,2,186,2.1023784901758016,3,0.016129032258064516
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,11,3,155,2.170673076923077,1,0.0064516129032258064
38IOEK81UIQHG7BFV93TAAEQ3W496W,8,3,211,3.134228187919463,15,0.07109004739336493
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,5,2,32,3.03125,0,0.0
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,38,12,377,3.4989690721649485,21,0.05570291777188329
38MNOT6KWIG21RX6PKH1YJB8VKDT05,13,8,91,1.9912790697674418,4,0.04395604395604396
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,19,7,182,2.8828451882845187,7,0.038461538461538464
38NH2CI7SPCMWUJ4T62C2GD654VVUY,30,3,253,2.9346733668341707,6,0.023715415019762844
